I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
training #: 10548 testing #: 1463
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla K40c
major: 3 minor: 5 memoryClockRate (GHz) 0.745
pciBusID 0000:07:00.0
Total memory: 11.17GiB
Free memory: 11.10GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K40c, pci bus id: 0000:07:00.0)
training error: 8899, training loss: 13342.1519531, Testing error: 1101, loss: 16464.828125
training error: 10460, training loss: 13264.3530273, Testing error: 1436, loss: 16441.0234375
training error: 9294, training loss: 13209.6888672, Testing error: 1332, loss: 16396.7207031
training error: 8580, training loss: 13156.2981445, Testing error: 1265, loss: 16357.2851562
training error: 8807, training loss: 13103.1807617, Testing error: 1288, loss: 16325.7089844
training error: 8759, training loss: 13052.4331055, Testing error: 1286, loss: 16288.2548828
training error: 8407, training loss: 12997.9936523, Testing error: 1232, loss: 16250.0175781
training error: 8648, training loss: 12948.2527344, Testing error: 1277, loss: 16214.5673828
training error: 8612, training loss: 12898.3232422, Testing error: 1269, loss: 16179.625
training error: 8560, training loss: 12848.5543945, Testing error: 1255, loss: 16141.4882812
training error: 8492, training loss: 12796.1116211, Testing error: 1239, loss: 16104.8164062
training error: 8415, training loss: 12745.2179688, Testing error: 1233, loss: 16069.7832031
training error: 8369, training loss: 12693.7485352, Testing error: 1231, loss: 16030.3203125
training error: 8323, training loss: 12641.1263672, Testing error: 1231, loss: 15992.9658203
training error: 8035, training loss: 12590.1107422, Testing error: 1199, loss: 15953.78125
training error: 8255, training loss: 12538.919043, Testing error: 1219, loss: 15915.2070312
training error: 7545, training loss: 12485.2024414, Testing error: 1133, loss: 15875.6796875
training error: 7517, training loss: 12431.4086914, Testing error: 1129, loss: 15836.5429688
training error: 7756, training loss: 12378.3820313, Testing error: 1175, loss: 15799.6064453
training error: 7403, training loss: 12326.3380859, Testing error: 1117, loss: 15761.5126953
training error: 7123, training loss: 12276.2418945, Testing error: 1087, loss: 15724.0439453
training error: 7101, training loss: 12224.4318359, Testing error: 1087, loss: 15686.296875
training error: 7109, training loss: 12171.0545898, Testing error: 1089, loss: 15647.1289062
training error: 7587, training loss: 12123.7972656, Testing error: 1153, loss: 15606.0976562
training error: 5784, training loss: 12071.7292969, Testing error: 941, loss: 15561.4912109
training error: 6791, training loss: 12022.8922852, Testing error: 1069, loss: 15519.625
training error: 5805, training loss: 11969.9527344, Testing error: 943, loss: 15472.2324219
